B-V;Vmag;log.Teff;logL;Age;Mass
-0.240; 9.510; 4.300; 3.76; 1.66e+07;  8.78
-0.240; 9.510; 4.300; 3.76; 2.04e+07;  8.37
-0.240; 9.510; 4.300; 3.76; 2.10e+07;  8.28
-0.210; 9.600; 4.250; 3.60; 2.58e+07;  7.43
-0.220; 9.740; 4.267; 3.58; 2.12e+07;  7.81
-0.220; 9.740; 4.267; 3.58; 2.45e+07;  7.55
-0.220; 9.740; 4.267; 3.58; 2.59e+07;  7.39
-0.220; 9.780; 4.267; 3.57; 2.11e+07;  7.75
-0.220; 9.780; 4.267; 3.57; 2.52e+07;  7.45
-0.220; 9.780; 4.267; 3.57; 2.64e+07;  7.31
-0.200; 9.850; 4.238; 3.47; 2.63e+07;  7.17
-0.200; 9.850; 4.238; 3.47; 2.69e+07;  7.14
-0.200; 9.850; 4.238; 3.47; 3.02e+07;  6.84
-0.260; 9.860; 4.350; 3.74; 9.31e+06;  9.20
-0.220;10.200; 4.267; 3.40; 2.04e+07;  7.11
-0.230;10.260; 4.283; 3.42; 1.68e+07;  7.30
-0.210;10.310; 4.250; 3.32; 2.35e+07;  6.73
-0.190;10.350; 4.225; 3.24; 2.90e+07;  6.35
-0.190;10.350; 4.225; 3.24; 3.94e+07;  5.99
-0.190;10.350; 4.225; 3.24; 3.97e+07;  5.98
-0.210;10.480; 4.250; 3.25; 2.25e+07;  6.51
-0.210;10.490; 4.250; 3.24; 2.24e+07;  6.50
-0.200;10.520; 4.238; 3.20; 2.54e+07;  6.30
-0.210;10.670; 4.250; 3.17; 2.09e+07;  6.29
-0.210;10.720; 4.250; 3.15; 2.02e+07;  6.23
-0.210;10.730; 4.250; 3.15; 2.00e+07;  6.22
-0.210;10.790; 4.250; 3.12; 1.90e+07;  6.16
-0.170;10.810; 4.200; 3.00; 3.49e+07;  5.52
-0.160;10.910; 4.183; 2.91; 4.01e+07;  5.23
-0.190;10.930; 4.225; 3.01; 2.53e+07;  5.67
-0.170;10.980; 4.200; 2.93; 3.34e+07;  5.33
-0.190;11.050; 4.225; 2.96; 2.30e+07;  5.56
-0.180;11.190; 4.212; 2.87; 2.50e+07;  5.27
-0.180;11.220; 4.212; 2.86; 2.43e+07;  5.24
-0.170;11.290; 4.200; 2.80; 2.82e+07;  5.03
-0.140;11.390; 4.150; 2.64; 5.12e+07;  4.47
-0.160;11.400; 4.183; 2.72; 3.34e+07;  4.76
-0.170;11.450; 4.200; 2.74; 2.38e+07;  4.89
-0.180;11.550; 4.212; 2.73; 1.27e+07;  4.96
-0.170;11.620; 4.200; 2.67; 1.63e+07;  4.77
-0.130;11.630; 4.133; 2.51; 5.72e+07;  4.14
-0.130;11.630; 4.133; 2.51; 5.72e+07;  4.14
-0.180;11.720; 4.212; 2.66; 3.97e+06;  4.84
-0.130;11.740; 4.133; 2.46; 5.46e+07;  4.06
-0.120;11.800; 4.117; 2.40; 6.55e+07;  3.89
-0.150;11.820; 4.167; 2.51; 2.75e+07;  4.28
-0.140;11.870; 4.150; 2.45; 3.66e+07;  4.10
-0.120;11.970; 4.117; 2.33; 6.02e+07;  3.77
-0.150;11.980; 4.167; 2.45; 1.63e+07;  4.18
