B-V;Vmag;log.Teff;logL;Age;Mass
 1.220; 9.760; 3.655; 2.63; 1.00e+04;  6.10
 1.220; 9.760; 3.655; 2.63; 9.59e+07;  4.41
 1.220; 9.760; 3.655; 2.63; 1.38e+08;  3.97
 1.220; 9.760; 3.655; 2.63; 2.17e+08;  3.51
 0.000; 9.840; 3.988; 2.48; 2.96e+05;  4.30
 0.000; 9.840; 3.988; 2.48; 1.66e+08;  3.52
-0.190; 9.950; 4.225; 2.92; 3.06e+05;  4.97
-0.190; 9.950; 4.225; 2.92; 4.77e+07;  4.98
-0.200; 9.980; 4.238; 2.94; 3.08e+05;  5.00
-0.200; 9.980; 4.238; 2.94; 4.16e+07;  5.09
-0.130;10.000; 4.133; 2.68; 3.71e+05;  4.44
-0.130;10.000; 4.133; 2.68; 1.28e+08;  3.89
-0.180;10.040; 4.212; 2.85; 3.41e+05;  4.77
-0.180;10.040; 4.212; 2.85; 5.36e+07;  4.77
-0.080;10.050; 4.062; 2.51; 3.96e+05;  4.16
-0.080;10.050; 4.062; 2.51; 1.67e+08;  3.51
-0.040;10.070; 4.020; 2.43; 3.84e+05;  4.07
-0.040;10.070; 4.020; 2.43; 1.83e+08;  3.38
-0.220;10.120; 4.267; 2.95; 3.57e+05;  5.21
-0.220;10.120; 4.267; 2.95; 2.03e+07;  5.34
-0.040;10.250; 4.020; 2.36; 4.51e+05;  3.88
-0.040;10.250; 4.020; 2.36; 2.05e+08;  3.23
-0.190;10.270; 4.225; 2.79; 4.21e+05;  4.55
-0.190;10.270; 4.225; 2.79; 4.37e+07;  4.70
-0.180;10.300; 4.212; 2.75; 4.38e+05;  4.41
-0.180;10.300; 4.212; 2.75; 5.04e+07;  4.56
-0.070;10.380; 4.050; 2.36; 5.33e+05;  3.76
-0.070;10.380; 4.050; 2.36; 2.11e+08;  3.19
-0.160;10.410; 4.183; 2.63; 5.13e+05;  4.13
-0.160;10.410; 4.183; 2.63; 6.83e+07;  4.21
 0.870;10.800; 3.715; 2.09; 9.97e+04;  4.17
 0.870;10.800; 3.715; 2.09; 2.14e+08;  3.19
 0.870;10.800; 3.715; 2.09; 3.58e+08;  2.78
 0.870;10.800; 3.715; 2.09; 3.80e+08;  2.73
-0.150;11.020; 4.167; 2.35; 1.05e+06;  3.56
-0.150;11.020; 4.167; 2.35; 5.33e+07;  3.66
-0.100;11.430; 4.087; 2.01; 1.56e+06;  2.78
-0.100;11.430; 4.087; 2.01; 1.56e+08;  2.90
 0.050;11.840; 3.956; 1.64; 1.70e+06;  2.48
 0.050;11.840; 3.956; 1.64; 6.68e+08;  2.09
 0.040;11.960; 3.963; 1.60; 1.96e+06;  2.39
 0.040;11.960; 3.963; 1.60; 7.02e+08;  2.05
-0.180; 3.630; 4.212; 3.34; 3.59e+07;  6.30
-0.170; 4.880; 4.200; 2.81; 2.84e+07;  5.04
-0.140; 5.230; 4.150; 2.54; 4.65e+07;  4.27
-0.150; 5.500; 4.167; 2.48; 2.20e+07;  4.23
-0.160; 5.540; 4.183; 2.50; 7.27e+06;  4.38
-0.140; 5.590; 4.150; 2.40; 2.97e+07;  4.01
-0.100; 6.340; 4.087; 1.96; 2.70e+07;  3.12
-0.100; 6.470; 4.087; 1.91; 5.72e+06;  3.05
-0.040; 7.260; 4.020; 1.48;-4.20e+07;  2.39
-0.010; 7.310; 3.994; 1.42; 4.97e+07;  2.27
 0.000; 7.400; 3.988; 1.38; 4.24e+07;  2.22
 0.070; 7.590; 3.945; 1.25; 2.20e+08;  2.02
 0.070; 7.700; 3.945; 1.20; 1.70e+08;  1.98
 0.190; 7.730; 3.892; 1.16; 5.42e+08;  1.88
 0.190; 7.770; 3.892; 1.14; 5.37e+08;  1.87
 0.090; 7.860; 3.936; 1.13; 1.52e+08;  1.91
 0.200; 8.140; 3.888; 0.99; 4.78e+08;  1.72
 0.220; 8.520; 3.881; 0.84; 3.19e+08;  1.60
 0.210; 8.560; 3.885; 0.83; 1.95e+08;  1.60
 0.410; 8.760; 3.816; 0.75; 1.22e+09;  1.48
 0.410; 8.760; 3.816; 0.75; 1.40e+09;  1.45
 0.410; 8.760; 3.816; 0.75; 2.09e+09;  1.36
 0.430; 8.920; 3.809; 0.69; 1.43e+09;  1.42
 0.430; 8.920; 3.809; 0.69; 1.72e+09;  1.39
 0.430; 8.920; 3.809; 0.69; 2.40e+09;  1.31
 0.360; 9.100; 3.831; 0.61; 9.00e+08;  1.38
 0.390; 9.310; 3.822; 0.53; 1.03e+09;  1.31
 0.380; 9.380; 3.825; 0.50; 8.21e+08;  1.30
 0.480; 9.860; 3.795; 0.32; 1.56e+09;  1.16
 0.130;-8.650; 3.888; 5.29; 6.99e+02; 31.85
 0.130;-8.650; 3.888; 5.29; 9.39e+06; 18.57
 0.130;-8.650; 3.888; 5.29; 1.87e+07;  7.76
-0.150;-7.490; 4.125; 5.29; 2.23e+03; 29.76
-0.150;-7.490; 4.125; 5.29; 7.67e+06; 20.08
-0.280;-5.740; 4.407; 5.02; 7.38e+03; 24.35
-0.280;-5.740; 4.407; 5.02; 7.52e+06; 18.87
-0.270;-4.130; 4.375; 4.28; 3.09e+04; 13.21
-0.270;-4.130; 4.375; 4.28; 1.45e+07; 11.71
-0.270;-4.130; 4.375; 4.28; 1.47e+07; 11.68
-0.270;-4.130; 4.375; 4.28; 1.60e+07; 11.18
-0.260;-4.080; 4.350; 4.20; 3.44e+04; 12.42
-0.260;-4.080; 4.350; 4.20; 1.76e+07; 10.50
-0.280;-3.840; 4.400; 4.22; 3.69e+04; 12.49
-0.280;-3.840; 4.400; 4.22; 1.21e+07; 11.74
-0.280;-3.840; 4.400; 4.22; 1.67e+07; 10.86
-0.280;-3.840; 4.400; 4.22; 1.68e+07; 10.83
-0.270;-3.760; 4.375; 4.13; 4.23e+04; 11.61
-0.270;-3.760; 4.375; 4.13; 1.47e+07; 10.80
-0.270;-3.760; 4.375; 4.13; 1.79e+07; 10.28
-0.270;-3.760; 4.375; 4.13; 1.86e+07; 10.09
-0.250;-3.540; 4.325; 3.92; 5.82e+04;  9.84
-0.250;-3.540; 4.325; 3.92; 2.38e+07;  8.63
-0.240;-3.400; 4.300; 3.80; 6.98e+04;  8.97
-0.240;-3.400; 4.300; 3.80; 2.78e+07;  7.97
-0.260;-3.310; 4.350; 3.89; 6.68e+04;  9.46
-0.260;-3.310; 4.350; 3.89; 1.78e+07;  9.16
-0.260;-3.310; 4.350; 3.89; 2.39e+07;  8.59
-0.260;-3.310; 4.350; 3.89; 2.43e+07;  8.53
-0.280;-3.190; 4.400; 3.96; 6.63e+04;  9.95
-0.280;-3.190; 4.400; 3.96; 1.12e+07; 10.19
-0.250;-2.620; 4.325; 3.55; 1.21e+05;  7.44
-0.250;-2.620; 4.325; 3.55; 2.11e+07;  7.55
-0.260;-2.560; 4.350; 3.59; 1.26e+05;  7.72
-0.260;-2.560; 4.350; 3.59; 1.54e+07;  7.93
-0.230;-2.200; 4.283; 3.28; 1.81e+05;  6.25
-0.230;-2.200; 4.283; 3.28; 2.95e+07;  6.32
-0.230;-2.080; 4.283; 3.23; 1.99e+05;  6.04
-0.230;-2.080; 4.283; 3.23; 2.88e+07;  6.18
-0.250;-1.960; 4.325; 3.29; 2.25e+05;  6.63
-0.250;-1.960; 4.325; 3.29; 1.05e+07;  6.73
-0.220;-1.900; 4.267; 3.12; 2.36e+05;  5.61
-0.220;-1.900; 4.267; 3.12; 3.28e+07;  5.74
-0.240;-1.890; 4.300; 3.20; 2.41e+05;  6.08
-0.240;-1.890; 4.300; 3.20; 1.82e+07;  6.23
-0.150;-1.740; 4.167; 2.81; 3.12e+05;  4.79
-0.150;-1.740; 4.167; 2.81; 8.26e+07;  4.50
-0.150;-1.740; 4.167; 2.81; 8.76e+07;  4.45
-0.150;-1.740; 4.167; 2.81; 1.02e+08;  4.24
-0.160;-1.580; 4.183; 2.79; 3.52e+05;  4.65
-0.160;-1.580; 4.183; 2.79; 7.11e+07;  4.52
-0.160;-1.580; 4.183; 2.79; 9.85e+07;  4.28
-0.160;-1.580; 4.183; 2.79; 1.03e+08;  4.22
-0.230;-1.490; 4.283; 3.00; 3.54e+05;  5.49
-0.230;-1.490; 4.283; 3.00; 1.16e+07;  5.59
-0.220;-1.470; 4.267; 2.95; 3.60e+05;  5.20
-0.220;-1.470; 4.267; 2.95; 1.99e+07;  5.33
-0.230;-1.420; 4.283; 2.97; 3.77e+05;  5.45
-0.230;-1.420; 4.283; 2.97; 9.84e+06;  5.53
-0.160;-1.350; 4.183; 2.70; 4.39e+05;  4.34
-0.160;-1.350; 4.183; 2.70; 7.03e+07;  4.33
-0.180;-1.240; 4.212; 2.73; 4.68e+05;  4.35
-0.180;-1.240; 4.212; 2.73; 4.93e+07;  4.51
-0.190;-1.180; 4.225; 2.73; 5.04e+05;  4.47
-0.190;-1.180; 4.225; 2.73; 3.52e+07;  4.60
-0.150;-1.170; 4.167; 2.59; 5.38e+05;  4.03
-0.150;-1.170; 4.167; 2.59; 8.15e+07;  4.05
-0.140;-1.150; 4.150; 2.54; 5.63e+05;  3.94
-0.140;-1.150; 4.150; 2.54; 9.60e+07;  3.90
-0.090;-1.140; 4.075; 2.37; 5.82e+05;  3.72
-0.090;-1.140; 4.075; 2.37; 2.06e+08;  3.20
-0.170;-1.080; 4.200; 2.63; 5.70e+05;  4.13
-0.170;-1.080; 4.200; 2.63; 5.33e+07;  4.27
-0.120;-0.930; 4.117; 2.37; 7.17e+05;  3.58
-0.120;-0.930; 4.117; 2.37; 1.31e+08;  3.52
-0.120;-0.930; 4.117; 2.37; 1.78e+08;  3.34
-0.120;-0.930; 4.117; 2.37; 1.88e+08;  3.29
-0.170;-0.800; 4.200; 2.52; 7.86e+05;  4.00
-0.170;-0.800; 4.200; 2.52; 3.27e+07;  4.09
-0.200;-0.800; 4.238; 2.61; 7.25e+05;  4.44
-0.200;-0.800; 4.238; 2.61; 8.42e+06;  4.48
-0.120;-0.760; 4.117; 2.31; 8.53e+05;  3.39
-0.120;-0.760; 4.117; 2.31; 1.30e+08;  3.41
-0.130;-0.720; 4.133; 2.33; 8.83e+05;  3.39
-0.130;-0.720; 4.133; 2.33; 1.07e+08;  3.49
-0.170;-0.700; 4.200; 2.48; 8.72e+05;  3.96
-0.170;-0.700; 4.200; 2.48; 2.43e+07;  4.03
-0.190;-0.690; 4.225; 2.54; 8.30e+05;  4.24
-0.190;-0.690; 4.225; 2.54; 9.63e+06;  4.27
-0.180;-0.640; 4.212; 2.49; 9.00e+05;  4.07
-0.180;-0.640; 4.212; 2.49; 1.37e+07;  4.11
-0.180;-0.600; 4.212; 2.47; 9.34e+05;  4.05
-0.180;-0.600; 4.212; 2.47; 1.19e+07;  4.09
-0.140;-0.590; 4.150; 2.31; 1.04e+06;  3.41
-0.140;-0.590; 4.150; 2.31; 7.93e+07;  3.53
-0.160;-0.550; 4.183; 2.38; 1.05e+06;  3.72
-0.160;-0.550; 4.183; 2.38; 2.88e+07;  3.78
-0.180;-0.520; 4.212; 2.44; 1.00e+06;  4.02
-0.180;-0.520; 4.212; 2.44; 8.13e+06;  4.04
-0.160;-0.440; 4.183; 2.33; 1.17e+06;  3.67
-0.160;-0.440; 4.183; 2.33; 2.21e+07;  3.72
-0.100;-0.440; 4.087; 2.12; 1.19e+06;  3.00
-0.100;-0.440; 4.087; 2.12; 1.69e+08;  3.04
-0.150;-0.390; 4.167; 2.27; 1.28e+06;  3.49
-0.150;-0.390; 4.167; 2.27; 3.30e+07;  3.54
-0.140;-0.370; 4.150; 2.22; 1.35e+06;  3.32
-0.140;-0.370; 4.150; 2.22; 5.53e+07;  3.40
-0.070;-0.360; 4.050; 2.01; 1.24e+06;  2.90
-0.070;-0.360; 4.050; 2.01; 2.45e+08;  2.82
-0.070;-0.360; 4.050; 2.01; 2.86e+08;  2.76
-0.070;-0.360; 4.050; 2.01; 3.30e+08;  2.65
-0.150;-0.330; 4.167; 2.25; 1.36e+06;  3.47
-0.150;-0.330; 4.167; 2.25; 2.90e+07;  3.51
-0.150;-0.310; 4.167; 2.24; 1.39e+06;  3.46
-0.150;-0.310; 4.167; 2.24; 2.76e+07;  3.50
-0.130;-0.300; 4.133; 2.16; 1.47e+06;  3.15
-0.130;-0.300; 4.133; 2.16; 7.66e+07;  3.24
-0.190;-0.240; 4.225; 2.36;         ;
-0.130;-0.230; 4.133; 2.13; 1.59e+06;  3.13
-0.130;-0.230; 4.133; 2.13; 6.75e+07;  3.20
-0.130;-0.180; 4.133; 2.11; 1.68e+06;  3.11
-0.130;-0.180; 4.133; 2.11; 6.07e+07;  3.18
-0.130;-0.180; 4.133; 2.11; 1.68e+06;  3.11
-0.130;-0.180; 4.133; 2.11; 6.07e+07;  3.18
-0.080;-0.160; 4.062; 1.96; 1.53e+06;  2.75
-0.080;-0.160; 4.062; 1.96; 2.12e+08;  2.78
-0.140;-0.160; 4.150; 2.14; 1.67e+06;  3.25
-0.140;-0.160; 4.150; 2.14; 3.26e+07;  3.29
-0.150;-0.100; 4.167; 2.16; 1.69e+06;  3.38
-0.150;-0.100; 4.167; 2.16; 1.10e+07;  3.39
-0.150;-0.070; 4.167; 2.15; 1.74e+06;  3.36
-0.150;-0.070; 4.167; 2.15; 8.36e+06;  3.37
-0.080;-0.030; 4.062; 1.90; 1.74e+06;  2.65
-0.080;-0.030; 4.062; 1.90; 2.06e+08;  2.72
-0.150; 0.010; 4.167; 2.11;         ;
-0.100; 0.020; 4.087; 1.93; 2.00e+06;  2.72
-0.100; 0.020; 4.087; 1.93; 1.38e+08;  2.81
-0.090; 0.030; 4.075; 1.90; 1.93e+06;  2.64
-0.090; 0.030; 4.075; 1.90; 1.67e+08;  2.75
-0.080; 0.060; 4.062; 1.87; 1.90e+06;  2.58
-0.080; 0.060; 4.062; 1.87; 1.98e+08;  2.68
-0.110; 0.100; 4.100; 1.92; 2.26e+06;  2.78
-0.110; 0.100; 4.100; 1.92; 8.88e+07;  2.84
-0.130; 0.110; 4.133; 1.99; 2.24e+06;  3.01
-0.130; 0.110; 4.133; 1.99; 2.62e+07;  3.03
-0.130; 0.120; 4.133; 1.99; 2.26e+06;  3.01
-0.130; 0.120; 4.133; 1.99; 2.50e+07;  3.03
-0.130; 0.140; 4.133; 1.98; 2.30e+06;  3.00
-0.130; 0.140; 4.133; 1.98; 2.25e+07;  3.02
-0.130; 0.150; 4.133; 1.98; 2.33e+06;  3.00
-0.130; 0.150; 4.133; 1.98; 2.13e+07;  3.01
-0.110; 0.200; 4.100; 1.88; 2.52e+06;  2.75
-0.110; 0.200; 4.100; 1.88; 6.90e+07;  2.79
-0.030; 0.360; 4.010; 1.66; 2.29e+06;  2.37
-0.030; 0.360; 4.010; 1.66; 3.46e+08;  2.35
-0.070; 0.380; 4.050; 1.72; 2.75e+06;  2.41
-0.070; 0.380; 4.050; 1.72; 1.96e+08;  2.48
-0.140; 0.390; 4.150; 1.92;         ;
-0.090; 0.400; 4.075; 1.76; 3.04e+06;  2.54
-0.090; 0.400; 4.075; 1.76; 9.89e+07;  2.59
-0.090; 0.400; 4.075; 1.76; 3.04e+06;  2.54
-0.090; 0.400; 4.075; 1.76; 9.89e+07;  2.59
-0.090; 0.410; 4.075; 1.75; 3.07e+06;  2.54
-0.090; 0.410; 4.075; 1.75; 9.63e+07;  2.58
-0.060; 0.410; 4.040; 1.69; 2.68e+06;  2.35
-0.060; 0.410; 4.040; 1.69; 2.27e+08;  2.44
-0.080; 0.410; 4.062; 1.73; 2.99e+06;  2.47
-0.080; 0.410; 4.062; 1.73; 1.42e+08;  2.53
-0.110; 0.440; 4.100; 1.79; 3.20e+06;  2.68
-0.110; 0.440; 4.100; 1.79; 3.05e+07;  2.69
 0.040; 0.440; 3.963; 1.57; 2.12e+06;  2.34
 0.040; 0.440; 3.963; 1.57; 7.25e+08;  2.03
-0.060; 0.480; 4.040; 1.66; 2.96e+06;  2.33
-0.060; 0.480; 4.040; 1.66; 2.16e+08;  2.41
-0.040; 0.490; 4.020; 1.63; 2.69e+06;  2.27
-0.040; 0.490; 4.020; 1.63; 2.97e+08;  2.33
-0.110; 0.510; 4.100; 1.76; 3.42e+06;  2.66
-0.110; 0.510; 4.100; 1.76; 1.88e+07;  2.66
-0.100; 0.520; 4.087; 1.73; 3.47e+06;  2.58
-0.100; 0.520; 4.087; 1.73; 4.16e+07;  2.60
-0.060; 0.580; 4.040; 1.62; 3.39e+06;  2.30
-0.060; 0.580; 4.040; 1.62; 1.95e+08;  2.37
-0.090; 0.630; 4.075; 1.66; 3.87e+06;  2.47
-0.090; 0.630; 4.075; 1.66; 4.88e+07;  2.49
-0.120; 0.640; 4.117; 1.75;         ;
-0.090; 0.650; 4.075; 1.66; 3.95e+06;  2.47
-0.090; 0.650; 4.075; 1.66; 4.50e+07;  2.49
-0.080; 0.660; 4.062; 1.63; 3.97e+06;  2.40
-0.080; 0.660; 4.062; 1.63; 7.30e+07;  2.42
-0.070; 0.690; 4.050; 1.59; 4.03e+06;  2.32
-0.070; 0.690; 4.050; 1.59; 1.11e+08;  2.36
-0.080; 0.730; 4.062; 1.60; 4.27e+06;  2.38
-0.080; 0.730; 4.062; 1.60; 5.90e+07;  2.40
-0.080; 0.730; 4.062; 1.60; 4.27e+06;  2.38
-0.080; 0.730; 4.062; 1.60; 5.90e+07;  2.40
-0.050; 0.740; 4.030; 1.54; 3.96e+06;  2.22
-0.050; 0.740; 4.030; 1.54; 1.97e+08;  2.27
-0.090; 0.750; 4.075; 1.62; 4.36e+06;  2.44
-0.090; 0.750; 4.075; 1.62; 2.50e+07;  2.45
-0.020; 0.750; 4.000; 1.49; 3.34e+06;  2.11
-0.020; 0.750; 4.000; 1.49; 3.55e+08;  2.17
-0.100; 0.760; 4.087; 1.64;         ;
-0.040; 0.790; 4.020; 1.51; 4.02e+06;  2.17
-0.040; 0.790; 4.020; 1.51; 2.40e+08;  2.22
-0.040; 0.790; 4.020; 1.51; 4.02e+06;  2.17
-0.040; 0.790; 4.020; 1.51; 2.40e+08;  2.22
-0.050; 0.810; 4.030; 1.51; 4.33e+06;  2.20
-0.050; 0.810; 4.030; 1.51; 1.72e+08;  2.24
-0.080; 0.830; 4.062; 1.56; 4.73e+06;  2.35
-0.080; 0.830; 4.062; 1.56; 3.78e+07;  2.36
-0.080; 0.850; 4.062; 1.55; 4.83e+06;  2.34
-0.080; 0.850; 4.062; 1.55; 3.33e+07;  2.35
-0.040; 0.860; 4.020; 1.48; 4.42e+06;  2.15
-0.040; 0.860; 4.020; 1.48; 2.13e+08;  2.19
-0.070; 0.860; 4.050; 1.52; 4.86e+06;  2.28
-0.070; 0.860; 4.050; 1.52; 6.40e+07;  2.30
-0.060; 0.920; 4.040; 1.48; 5.07e+06;  2.22
-0.060; 0.920; 4.040; 1.48; 8.12e+07;  2.24
 0.060; 0.930; 3.950; 1.36; 3.34e+06;  2.04
 0.060; 0.930; 3.950; 1.36; 6.48e+08;  1.97
 0.060; 0.930; 3.950; 1.36; 7.86e+08;  1.92
 0.060; 0.930; 3.950; 1.36; 9.40e+08;  1.84
-0.060; 0.940; 4.040; 1.48; 5.18e+06;  2.21
-0.060; 0.940; 4.040; 1.48; 7.63e+07;  2.23
-0.030; 0.940; 4.010; 1.43; 4.67e+06;  2.09
-0.030; 0.940; 4.010; 1.43; 2.47e+08;  2.13
 0.050; 0.970; 3.956; 1.35; 3.57e+06;  2.01
 0.050; 0.970; 3.956; 1.35; 6.01e+08;  1.97
 0.050; 0.970; 3.956; 1.35; 8.44e+08;  1.88
 0.050; 0.970; 3.956; 1.35; 9.12e+08;  1.84
-0.020; 0.980; 4.000; 1.40; 4.66e+06;  2.04
-0.020; 0.980; 4.000; 1.40; 3.06e+08;  2.09
-0.040; 0.980; 4.020; 1.43; 5.12e+06;  2.12
-0.040; 0.980; 4.020; 1.43; 1.60e+08;  2.15
-0.050; 0.980; 4.030; 1.45; 5.29e+06;  2.16
-0.050; 0.980; 4.030; 1.45; 1.01e+08;  2.18
-0.070; 0.990; 4.050; 1.47; 5.56e+06;  2.24
-0.070; 0.990; 4.050; 1.47; 3.31e+07;  2.25
-0.050; 1.030; 4.030; 1.43; 5.59e+06;  2.15
-0.050; 1.030; 4.030; 1.43; 8.72e+07;  2.17
 0.020; 1.040; 3.975; 1.34; 4.16e+06;  1.95
 0.020; 1.040; 3.975; 1.34; 4.62e+08;  2.00
-0.040; 1.050; 4.020; 1.40; 5.56e+06;  2.11
-0.040; 1.050; 4.020; 1.40; 1.25e+08;  2.13
-0.020; 1.070; 4.000; 1.36; 5.27e+06;  2.02
-0.020; 1.070; 4.000; 1.36; 2.61e+08;  2.06
-0.050; 1.080; 4.030; 1.41; 5.90e+06;  2.14
-0.050; 1.080; 4.030; 1.41; 7.24e+07;  2.15
-0.040; 1.140; 4.020; 1.37; 6.16e+06;  2.09
-0.040; 1.140; 4.020; 1.37; 9.30e+07;  2.10
-0.050; 1.150; 4.030; 1.38; 6.35e+06;  2.12
-0.050; 1.150; 4.030; 1.38; 5.00e+07;  2.13
-0.040; 1.190; 4.020; 1.35; 6.50e+06;  2.07
-0.040; 1.190; 4.020; 1.35; 7.57e+07;  2.09
-0.010; 1.200; 3.994; 1.30; 6.03e+06;  1.97
-0.010; 1.200; 3.994; 1.30; 2.41e+08;  2.00
-0.030; 1.270; 4.010; 1.30; 6.93e+06;  2.02
-0.030; 1.270; 4.010; 1.30; 9.05e+07;  2.03
-0.030; 1.290; 4.010; 1.29; 7.08e+06;  2.01
-0.030; 1.290; 4.010; 1.29; 8.23e+07;  2.02
 0.030; 1.290; 3.969; 1.24; 5.81e+06;  1.87
 0.030; 1.290; 3.969; 1.24; 4.46e+08;  1.90
-0.050; 1.370; 4.030; 1.29;         ;
-0.010; 1.390; 3.994; 1.23; 7.57e+06;  1.93
-0.010; 1.390; 3.994; 1.23; 1.27e+08;  1.94
 0.020; 1.400; 3.975; 1.20; 7.06e+06;  1.87
 0.020; 1.400; 3.975; 1.20; 2.94e+08;  1.89
 0.060; 1.420; 3.950; 1.16; 6.04e+06;  1.78
 0.060; 1.420; 3.950; 1.16; 5.76e+08;  1.81
 0.020; 1.500; 3.975; 1.16; 8.01e+06;  1.85
 0.020; 1.500; 3.975; 1.16; 2.07e+08;  1.86
 0.060; 1.500; 3.950; 1.13; 6.86e+06;  1.77
 0.060; 1.500; 3.950; 1.13; 5.50e+08;  1.79
 0.080; 1.520; 3.941; 1.11; 6.38e+06;  1.74
 0.080; 1.520; 3.941; 1.11; 6.41e+08;  1.76
 0.050; 1.540; 3.956; 1.12; 7.62e+06;  1.78
 0.050; 1.540; 3.956; 1.12; 4.18e+08;  1.79
 0.110; 1.650; 3.927; 1.05; 6.67e+06;  1.67
 0.110; 1.650; 3.927; 1.05; 7.59e+08;  1.70
 0.050; 1.670; 3.956; 1.07; 9.06e+06;  1.75
 0.050; 1.670; 3.956; 1.07; 2.81e+08;  1.76
 0.070; 1.720; 3.945; 1.04; 9.04e+06;  1.71
 0.070; 1.720; 3.945; 1.04; 4.02e+08;  1.72
 0.050; 1.730; 3.956; 1.04; 9.77e+06;  1.74
 0.050; 1.730; 3.956; 1.04; 2.26e+08;  1.75
 0.080; 1.760; 3.941; 1.02; 9.21e+06;  1.69
 0.080; 1.760; 3.941; 1.02; 4.40e+08;  1.70
 0.330; 1.780; 3.841; 0.98; 3.72e+06;  1.79
 0.330; 1.780; 3.841; 0.98; 2.48e+09;  1.41
 0.050; 1.890; 3.956; 0.98; 1.18e+07;  1.71
 0.050; 1.890; 3.956; 0.98; 8.89e+07;  1.72
 0.230; 1.910; 3.877; 0.92; 5.98e+06;  1.63
 0.230; 1.910; 3.877; 0.92; 1.41e+09;  1.55
 0.230; 1.910; 3.877; 0.92; 1.42e+09;  1.55
 0.230; 1.910; 3.877; 0.92; 2.10e+09;  1.43
 0.080; 1.940; 3.941; 0.95; 1.16e+07;  1.66
 0.080; 1.940; 3.941; 0.95; 2.29e+08;  1.66
 0.270; 2.110; 3.862; 0.84; 6.57e+06;  1.57
 0.270; 2.110; 3.862; 0.84; 2.51e+09;  1.37
 0.420; 2.280; 3.813; 0.78; 4.72e+06;  1.63
 0.420; 2.280; 3.813; 0.78; 3.86e+09;  1.26
 0.200; 2.420; 3.888; 0.72; 1.44e+07;  1.45
 0.200; 2.420; 3.888; 0.72; 7.34e+08;  1.45
-0.230; 2.780; 4.375; 3.94; 6.44e+04;  9.77
-0.230; 2.780; 4.375; 3.94; 1.45e+07;  9.71
-0.150; 4.810; 4.225; 2.76; 4.64e+05;  4.51
-0.150; 4.810; 4.225; 2.76; 3.93e+07;  4.64
-0.140; 4.840; 4.212; 2.72; 4.81e+05;  4.34
-0.140; 4.840; 4.212; 2.72; 4.89e+07;  4.49
-0.150; 4.870; 4.225; 2.74; 4.98e+05;  4.48
-0.150; 4.870; 4.225; 2.74; 3.58e+07;  4.60
-0.090; 5.260; 4.133; 2.36; 8.12e+05;  3.48
-0.090; 5.260; 4.133; 2.36; 1.10e+08;  3.54
-0.100; 5.360; 4.150; 2.36; 9.09e+05;  3.45
-0.100; 5.360; 4.150; 2.36; 8.54e+07;  3.59
-0.170; 5.520; 4.250; 2.54;         ;
-0.080; 6.340; 4.117; 1.89; 2.69e+06;  2.84
-0.080; 6.340; 4.117; 1.89; 2.77e+07;  2.85
 0.000; 6.480; 4.020; 1.65; 2.50e+06;  2.32
 0.000; 6.480; 4.020; 1.65; 3.04e+08;  2.36
-0.050; 6.740; 4.075; 1.64; 4.07e+06;  2.46
-0.050; 6.740; 4.075; 1.64; 3.92e+07;  2.47
-0.080; 6.750; 4.117; 1.73;         ;
-0.020; 6.820; 4.040; 1.55; 4.23e+06;  2.26
-0.020; 6.820; 4.040; 1.55; 1.36e+08;  2.30
 0.030; 6.990; 3.994; 1.41; 4.13e+06;  2.03
 0.030; 6.990; 3.994; 1.41; 3.57e+08;  2.09
 0.000; 7.180; 4.020; 1.37; 6.02e+06;  2.09
 0.000; 7.180; 4.020; 1.37; 9.96e+07;  2.11
-0.010; 7.280; 4.030; 1.35; 6.82e+06;  2.11
-0.010; 7.280; 4.030; 1.35; 2.52e+07;  2.11
 0.220; 7.320; 3.896; 1.19; 3.43e+06;  1.93
 0.220; 7.320; 3.896; 1.19; 1.49e+09;  1.62
 0.030; 7.460; 3.994; 1.22; 7.66e+06;  1.93
 0.030; 7.460; 3.994; 1.22; 1.22e+08;  1.94
 0.050; 7.560; 3.981; 1.17; 8.22e+06;  1.87
 0.050; 7.560; 3.981; 1.17; 1.56e+08;  1.88
 0.040; 7.580; 3.988; 1.17; 8.59e+06;  1.89
 0.040; 7.580; 3.988; 1.17; 9.99e+07;  1.89
 0.040; 7.610; 3.988; 1.16; 8.88e+06;  1.88
 0.040; 7.610; 3.988; 1.16; 8.24e+07;  1.88
 0.110; 7.760; 3.945; 1.04; 8.80e+06;  1.72
 0.110; 7.760; 3.945; 1.04; 4.26e+08;  1.73
 0.110; 7.850; 3.945; 1.01; 9.92e+06;  1.70
 0.110; 7.850; 3.945; 1.01; 3.14e+08;  1.71
 0.090; 7.860; 3.956; 1.02; 1.06e+07;  1.73
 0.090; 7.860; 3.956; 1.02; 1.69e+08;  1.73
 0.150; 8.140; 3.927; 0.88; 1.27e+07;  1.60
 0.150; 8.140; 3.927; 0.88; 2.88e+08;  1.60
 0.170; 8.200; 3.918; 0.85; 1.29e+07;  1.57
 0.170; 8.200; 3.918; 0.85; 3.79e+08;  1.57
 0.220; 8.240; 3.896; 0.82; 1.10e+07;  1.50
 0.220; 8.240; 3.896; 0.82; 9.68e+08;  1.51
 0.210; 8.250; 3.900; 0.82; 1.18e+07;  1.51
 0.210; 8.250; 3.900; 0.82; 8.07e+08;  1.51
